Component,Origin,License,Copyright
@opencode-ai/plugin,https://www.npmjs.com/package/@opencode-ai/plugin,MIT,SST
jsonc-parser,https://www.npmjs.com/package/jsonc-parser,MIT,Microsoft Corporation
